Nama Restoran,Nama,Pengguna Gojek Sejak,Rating,Ulasan,Produk yang Dibeli,Tanggal Beli,Waktu Scraping
"McDonald's, Mulyosari Surabaya",D***,24 Juni 2018,3.0,menunya kurang satu,Fanta Float - Apple Pie - Chicken Burger - Chicken Snack Wrap - Spicy Chicken Bites,2 Juli 2021,2025-07-11 22:20:01
"McDonald's, Mulyosari Surabaya",Y******* I********,22 Juli 2017,2.0,"karyawan tidak mau menambahkan tulisan pada pesanan dengan alasan ""malas""",Cheeseburger Meal Medium,30 Juni 2021,2025-07-11 22:20:01
"McDonald's, Mulyosari Surabaya",A*** W********,10 Juli 2016,3.0,Tolong sebelum dikasihkan ke Driver GoFood diteliti lg utk kelengkapan tambahan sprt mainannya sdh masuk atau belum gt ya...,Happy Meal Ayam McD - PaNas 2 Medium,29 Juni 2021,2025-07-11 22:20:01
"McDonald's, Mulyosari Surabaya",U****,18 Januari 2020,4.0,tambahin lg dikit ehe,Paket Nasi Uduk McD Ayam Suwir,26 Juni 2021,2025-07-11 22:20:01
"McDonald's, Mulyosari Surabaya",A*** S**** A***,22 Februari 2019,1.0,pesen yang matcha malah dikasih yg biasa,Matcha McFlurry with Oreo - Double Choco Pie - Apple Pie - Iced Coffee Jelly Float,26 Juni 2021,2025-07-11 22:20:01
"McDonald's, Mulyosari Surabaya",P**** A******,16 September 2020,1.0,"datangny kok ndk sesuai kak,pesenny dada smua kok satuny sayap",PaNas 1 Large - PaNas 1 Spicy Large - Happy Meal Chicken Burger - Double Choco Pie,23 Juni 2021,2025-07-11 22:20:01
"McDonald's, Mulyosari Surabaya",R*** F,19 Agustus 2016,2.0,uda di tulis di catatan mauny dada ee malah dikirim yg sayap!!,PaNas 1 Medium - McNuggets  4pcs - French Fries Large,21 Juni 2021,2025-07-11 22:20:01
"McDonald's, Mulyosari Surabaya",H**** I*****,15 Juli 2015,5.0,"kampanye no plastic bag ok, tapi tolong packagingnya mudah dibawa driver , kalau kantong kertas gitu susah dibawa motor apalagi kertas mudah sobek",PaNas 2 Large - HashBrown,17 Juni 2021,2025-07-11 22:20:01
"McDonald's, Mulyosari Surabaya",R*** P*******,19 Agustus 2017,3.0,isi burgernya sedikit banget,Happy Meal Beef Burger,21 Juni 2021,2025-07-11 22:20:01
"McDonald's, Mulyosari Surabaya",A******** P*****,10 Februari 2016,1.0,saos yang ditunggu-tunggu ternyata ngak ada !!!!,Apple Pie - McNuggets  9pcs,18 Juni 2021,2025-07-11 22:20:01
"McDonald's, Mulyosari Surabaya",Y*** M******,21 Februari 2017,5.0,"lebih baik mcd menyediakan plastik buat yg pesan gojek, biar gojek yg Bawak lebih mudah dan kalau ada plastik lebih keliatan bersih....",PaNas 2 with Fries Medium,15 Juni 2021,2025-07-11 22:20:01
"McDonald's, Mulyosari Surabaya",O**********,10 Juli 2016,3.0,sambal hanya dikasih 1 bungkus. Pelit sekali. Padahal di notes uda ada keterangan. Mhn di perhatikan lg,PaNas Spesial Medium,14 Juni 2021,2025-07-11 22:20:01
"McDonald's, Mulyosari Surabaya",M****** A****,24 November 2017,5.0,Smooth like butter,Triple Burger with Cheese,4 Juni 2021,2025-07-11 22:20:01
