Nama Restoran,Rating,Jarak,Tingkat Harga,Detail Harga,Tipe Masakan,Alamat,Jam Buka (Senin),Jam Buka (Selasa),Jam Buka (Rabu),Jam Buka (Kamis),Jam Buka (Jumat),Jam Buka (Sabtu),Jam Buka (Minggu),Link,Waktu Scraping
"Depot Gudeg Bu Harnik, Dharmahusada",4.9,2.04 km,$$$·,40rb-100rb,Aneka nasi,"Jl. Dharmahusada No. 112, Gubeng, Surabaya",06:30-14:30,06:30-14:30,06:30-14:30,06:30-14:30,06:30-14:30,06:30-14:30,06:30-14:30,https://gofood.co.id/surabaya/restaurant/depot-gudeg-bu-harnik-dharmahusada-12ca0495-ae7f-4a76-bbb4-ae20cbf3dd81,2025-07-11 07:38:39
"Anugrah Penyetan Sambel Uleg, Karang Menjangan",4.1,1.72 km,$$··,16rb-40rb,"Aneka nasi, Ayam & bebek","Jl. Karang Menjangan 1B No. 56, Gubeng, Surabaya",00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,https://gofood.co.id/surabaya/restaurant/anugrah-penyetan-sambel-uleg-karang-menjangan-80c45b67-1882-465e-bedc-79a978dfa9e3,2025-07-11 07:38:56
"De Melly's Bakery, Dharmahusada",5,1.94 km,$$··,16rb-40rb,Roti,"Jl. Dharmahusada No. 121, Gubeng, Surabaya",07:00-21:00,07:00-20:30,07:00-21:00,07:00-21:00,07:00-21:00,07:00-21:00,07:00-21:00,https://gofood.co.id/surabaya/restaurant/de-melly-s-bakery-dharmahusada-46e04272-ba9d-414e-95db-4f634e9655f4,2025-07-11 07:39:25
"Nasi Campur Kertajaya Indah, Mojo",4.5,1.9 km,$$$·,40rb-100rb,Aneka nasi,"Jl. Dharmahusada No.50, Mojo, Kecamatan Gubeng, Surabaya
(Halaman Parkir YUNG HO)",05:45-12:30,Tutup,06:00-13:00,05:45-12:00,05:45-12:00,05:45-12:00,05:45-12:00,https://gofood.co.id/surabaya/restaurant/nasi-campur-kertajaya-indah-mojo-be740357-ed0c-4516-84fd-63d06a8cfd3b,2025-07-11 07:39:14
"McDonald's, Manyar Kertoarjo Surabaya",4.9,2.83 km,$$$·,40rb-100rb,"Jajanan, Cepat saji, Sweets","Jl. Manyar Kertoarjo No. 15, Mulyorejo, Surabaya",00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,https://gofood.co.id/surabaya/restaurant/mcdonald-s-manyar-kertoarjo-surabaya-d90054ac-d4b8-41f5-892c-dea47d9199a8,2025-07-11 07:35:20
"Bubur Ayam Bang Rossi, Dharmawangsa",4.7,2.24 km,$···,Dibawah 16rb,Aneka nasi,"Jl. Dharmawangsa No. 81A, Gubeng, Surabaya",00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,https://gofood.co.id/surabaya/restaurant/bubur-ayam-bang-rossi-dharmawangsa-76838fcd-96e4-4eef-98bc-c1c384e284c6,2025-07-11 07:38:44
"Seblak Judes, Karang Menjangan",4.7,1.67 km,$$··,16rb-40rb,Jajanan,"Jl. Karang Menjangan No. 34, Gubeng, Surabaya",00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,https://gofood.co.id/surabaya/restaurant/seblak-judes-karang-menjangan-017b658a-93ca-4c02-977b-8fa5e2b08ca8,2025-07-11 07:39:52
"Laritta Bakery, Barata Jaya",4.9,4.76 km,$$··,16rb-40rb,Roti,"Jl. Barata Jaya 19 No. 8, Gubeng, Surabaya",06:30-20:30,06:30-20:30,06:30-20:30,06:30-20:30,06:30-20:30,06:30-20:30,06:30-20:30,https://gofood.co.id/surabaya/restaurant/laritta-bakery-barata-jaya-611572c4-de6a-4e99-a106-90dd4d87facc,2025-07-11 07:40:06
"Sabeni Fried Chicken 'n' Sambal, Kalijudan",4.4,2.5 km,$···,Dibawah 16rb,"Ayam & bebek, Cepat saji, Aneka nasi","Jl. Kalijudan 3 No. 2, Tambaksari, Surabaya",06:30-20:00,06:30-20:00,06:30-20:00,06:30-20:00,06:30-11:00 & 13:00-20:00,06:30-20:00,06:30-20:00,https://gofood.co.id/surabaya/restaurant/sabeni-fried-chicken-n-sambal-kalijudan-d744183f-ad17-4cdd-a63f-b7bfa63b873f,2025-07-11 07:40:39
STMJ Bu Mun Nginden Pojok,4.9,5.39 km,$$··,16rb-40rb,Minuman,"Jl. Nginden Raya No. 135B, Sukolilo, Surabaya",00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,https://gofood.co.id/surabaya/restaurant/stmj-bu-mun-nginden-pojok-420c39fd-56f9-44bb-9bc3-309c804a2d31,2025-07-11 07:40:32
"Amanda Brownies, Barata Jaya",4.9,4.86 km,$$$·,40rb-100rb,Roti,"Jl. Barata Jaya 19 No. 26, Gubeng, Surabaya",07:00-21:30,07:00-21:30,07:00-21:30,07:00-21:30,07:00-21:30,07:00-21:30,07:00-21:30,https://gofood.co.id/surabaya/restaurant/amanda-brownies-barata-jaya-eba521da-0a05-4a9f-aa90-6a5b0a191254,2025-07-11 07:40:12
"Pizza Hut Delivery - PHD, Dharmahusada",4.9,1.71 km,$$$·,40rb-100rb,"Pizza & pasta, Cepat saji, Jajanan, Barat, Ayam & bebek","JL. Dharmahusada, No. 115 E, Gubeng, Surabaya",05:30-23:15,05:30-23:15,05:30-23:15,05:30-23:15,07:30-23:15,07:30-23:15,07:30-23:15,https://gofood.co.id/surabaya/restaurant/pizza-hut-delivery-phd-dharmahusada-ba049b4f-024e-488c-8939-a615213e9b90,2025-07-11 07:40:08
"Warung Bambu Pojok, Keputih",4.9,6.46 km,$···,Dibawah 16rb,"Aneka nasi, Indonesia, Makanan sehat",Jl Keputih Tegal Nomor 11,07:00-15:00,07:00-15:00,07:00-15:00,07:00-15:00,07:00-15:00,07:00-15:00,Tutup,https://gofood.co.id/surabaya/restaurant/warung-bambu-pojok-keputih-16fb82fb-3502-449b-8455-75ea996f1491,2025-07-11 07:41:06
"Ayam Geprek Moome, Gubeng",4.9,1.85 km,$$··,16rb-40rb,"Aneka nasi, Ayam & bebek, Indonesia","Jl. Gubeng Airlangga 5 No. 16, Gubeng, Surabaya",07:30-20:45,07:30-20:45,07:30-20:45,07:15-20:45,07:30-20:45,07:30-20:45,07:15-18:45,https://gofood.co.id/surabaya/restaurant/ayam-geprek-moome-gubeng-58ecc287-f6f7-4185-8454-9bf529deb00c,2025-07-11 07:40:23
"Laritta Bakery, Nias",5,2.31 km,$$··,16rb-40rb,Roti,"Jl. Nias No. 132, Gubeng, Surabaya",06:30-20:30,06:30-20:30,06:30-20:30,06:30-20:30,06:30-20:30,06:30-20:30,06:30-20:30,https://gofood.co.id/surabaya/restaurant/laritta-bakery-nias-27732ac8-52a7-4ff2-a811-78dc83105f2c,2025-07-11 07:41:17
"Igor's Pastry, Biliton",5,1.93 km,$$$·,40rb-100rb,Roti,"Jl. Biliton No. 55, Gubeng, Surabaya",07:00-22:00,07:00-22:00,07:00-22:00,07:00-22:00,07:00-23:00,07:00-23:00,07:00-23:00,https://gofood.co.id/surabaya/restaurant/igor-s-pastry-biliton-a678ab2d-5d1a-4454-a9a5-5c863ecf10ba,2025-07-11 07:41:48
"DIMSUM MBLEDOS, Merr",4.8,3.39 km,$$··,16rb-40rb,"Chinese, Jajanan, Cepat saji","Jl. Dr Ir H Soekarno No. 53, Mulyorejo, Surabaya",06:00-23:00,06:00-23:00,06:00-23:00,06:00-23:00,06:00-23:00,06:00-23:00,06:00-23:00,https://gofood.co.id/surabaya/restaurant/dimsum-mbledos-merr-730f2972-3d72-48fc-8417-13e40e28776c,2025-07-11 07:41:14
"Dapur Cokelat, Biliton Gubeng",4.9,2.03 km,$$$$,Diatas 100rb,"Minuman, Roti, Sweets","Ruko Sentra Bisnis Biliton, Jl. Biliton No. 40D, Gubeng, Surabaya",07:00-22:00,07:00-22:00,07:00-22:00,07:00-22:00,07:15-22:00,07:00-22:00,07:00-22:00,https://gofood.co.id/surabaya/restaurant/dapur-cokelat-biliton-gubeng-86233c28-cb3f-46a4-9f17-3543d47a40d0,2025-07-11 07:41:41
"Pecel Bu Kus, Barata Jaya",4.8,5.3 km,$$··,16rb-40rb,Aneka nasi,"Jl. Barata Jaya, Gang 20 No. 110, Gubeng, Surabaya",06:00-20:30,06:00-20:30,06:00-20:30,06:00-20:30,06:00-20:30,06:00-20:30,06:00-20:30,https://gofood.co.id/surabaya/restaurant/pecel-bu-kus-barata-jaya-1ac8c18d-3a63-48b7-8a70-9646539685ad,2025-07-11 07:41:06
"Libby Bakery, Gubeng",4.6,1.34 km,$$$·,40rb-100rb,Roti,"Jl. Gubeng Raya No. 4, Gubeng, Surabaya",07:00-19:00,07:00-19:00,07:00-19:00,07:00-19:00,07:15-19:00,07:00-19:00,07:00-19:00,https://gofood.co.id/surabaya/restaurant/libby-bakery-gubeng-a448a3a2-311f-4604-a6ab-0df63dac75b7,2025-07-11 07:42:17
"Ayam panggang ""mak ning"", Tambang boyo",4.4,1.05 km,$$··,16rb-40rb,Ayam & bebek,"Jl. Tambang Boyo No. 168, Tambaksari, Surabaya",07:00-13:00,07:00-13:00,07:00-13:00,07:00-13:00,07:00-13:00,07:00-13:00,07:00-13:00,https://gofood.co.id/surabaya/restaurant/ayam-panggang-mak-ning-tambang-boyo-a3ac4e28-eda6-479e-9762-f3978031ea0e,2025-07-11 07:42:33
"Nasi Campur Kertajaya Indah, Kendal Sari",4.9,7.34 km,$$$·,40rb-100rb,"Jajanan, Aneka nasi, Minuman","Jl. Kendal Sari, Blok RK No. 88 (Ruko Nirwana Executive/Seberang Kebon Bibit Wonorejo), Rungkut, Surabaya",05:00-13:00,Tutup,05:00-13:00,05:00-13:00,05:00-13:00,05:00-13:30,05:00-13:30,https://gofood.co.id/surabaya/restaurant/nasi-campur-kertajaya-indah-kendal-sari-c735d9b6-2df1-4fba-ab83-71ae3eabd5d4,2025-07-11 07:42:36
"Malika Kebab 14, Tambaksari",4.6,1.47 km,$$··,16rb-40rb,"Timur Tengah, Cepat saji, Barat","Jl. Bronggalan No. 38, Pacar Kembang, Tambaksari, Kota Surabaya, Jawa Timur",00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,https://gofood.co.id/surabaya/restaurant/malika-kebab-14-tambaksari-ee939c19-3fe9-45f6-a621-7d7969890a5a,2025-07-11 07:42:45
