Nama Restoran,Rating,Jarak,Tingkat Harga,Detail Harga,Tipe Masakan,Alamat,Jam Buka (Senin),Jam Buka (Selasa),Jam Buka (Rabu),Jam Buka (Kamis),Jam Buka (Jumat),Jam Buka (Sabtu),Jam Buka (Minggu),Link,Waktu Scraping
"Ayam Betutu Bali Lais, Perum Puri Mas",5,9.13 km,$$$·,40rb-100rb,Aneka nasi,"Perum Puri Mas, Jl. I Gusti Ngurah Rai, Blok A1 No. 5, Gunung Anyar, Surabaya",07:00-19:00,07:00-19:00,07:00-19:00,07:00-19:00,07:00-19:00,07:00-19:00,07:00-19:00,https://gofood.co.id/surabaya/restaurant/ayam-betutu-bali-lais-perum-puri-mas-0ba707f8-b279-4a18-8e62-897408cd5761,2025-07-11 07:59:26
"Depot Singaraja Pak Gede, Genteng",5,1.49 km,$$$·,40rb-100rb,Sate,"Jl. Peneleh 120, Genteng, Surabaya",07:00-17:00,07:00-17:00,07:00-17:00,07:00-17:00,07:00-17:00,07:00-17:00,07:00-17:00,https://gofood.co.id/surabaya/restaurant/depot-singaraja-pak-gede-genteng-301ec21a-e4ed-41b9-b1dd-ef025ba42c67,2025-07-11 07:59:30
"Depot Gudeg Bu Har, Pasar Besar",4.8,1.57 km,$$··,16rb-40rb,Aneka nasi,"Jl. Pasar Besar Wetan No. 1A, Bubutan, Surabaya",06:30-15:15,06:30-15:15,06:30-15:15,06:30-15:15,06:30-15:15,06:30-15:15,06:30-15:15,https://gofood.co.id/surabaya/restaurant/depot-gudeg-bu-har-pasar-besar-d790f6f2-6bf5-4a65-ad7a-fa2b0e7f5ca5,2025-07-11 07:59:51
"Soto Madura Wawan, Mayjen Sungkono",4.9,4.87 km,$$$·,40rb-100rb,Bakso & soto,"Jl. Mayjen Sungkono No. 86B, Sawahan, Surabaya",00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,https://gofood.co.id/surabaya/restaurant/soto-madura-wawan-mayjen-sungkono-1f9da70f-4cc5-4809-8085-ccc9d663e784,2025-07-11 08:00:06
"Roti MOX, Simokerto",4.8,1.97 km,$$$·,40rb-100rb,Roti,"Jl. Simokerto No. 26, Simokerto, Surabaya",07:00-20:30,07:00-20:30,07:00-20:30,07:00-20:30,07:00-20:30,07:00-20:30,07:00-20:30,https://gofood.co.id/surabaya/restaurant/roti-mox-simokerto-d8d8fbdc-bc03-41d1-89f7-4c68b4ad8ed9,2025-07-11 08:00:49
Spikoe Resep Kuno,5,8.52 km,$$$$,Diatas 100rb,Roti,"Jl. Rungkut Madya Raya No. 41, Rungkut, Surabaya",07:00-20:30,07:00-20:30,07:00-20:30,07:00-20:30,07:00-20:30,07:00-20:30,07:00-20:30,https://gofood.co.id/surabaya/restaurant/spikoe-resep-kuno-eade2053-047c-4758-bb1e-d9fbdf741ff4,2025-07-11 07:56:04
"McDonald's, Rungkut",4.9,8.55 km,$$$·,40rb-100rb,"Cepat saji, Sweets, Jajanan","Jl. Rungkut Madya Raya No. 57-59, Rungkut, Surabaya",00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,https://gofood.co.id/surabaya/restaurant/mcdonald-s-rungkut-68efd4c1-f755-41ac-a1f0-0dc2f25a5b66,2025-07-11 07:55:23
"Roti MOX, Ketintang",5,6.27 km,$$$·,40rb-100rb,Roti,"Jl. Ketintang No. 160, Gayungan, Surabaya",07:00-20:30,07:00-20:30,07:00-20:30,07:00-20:30,07:00-20:30,07:00-20:30,07:00-20:30,https://gofood.co.id/surabaya/restaurant/roti-mox-ketintang-50d0b080-b321-4c9f-9c26-552018f02448,2025-07-11 08:01:09
"Nasi Campur Mak Nyuss, Purimas",4.9,9.33 km,$$··,16rb-40rb,Aneka nasi,"Ruko A2-25, Jl. I Gusti Ngurah Rai, Gunung Anyar, Surabaya",07:30-17:00,07:30-17:00,07:30-17:00,07:30-17:00,07:30-17:00,07:30-14:00,07:30-14:00,https://gofood.co.id/surabaya/restaurant/nasi-campur-mak-nyuss-purimas-32f6b31c-ee55-4577-ad3f-48251702f9ec,2025-07-11 08:01:24
"Resto Mierah, Kendangsari 2",4.7,7.67 km,$$$·,40rb-100rb,Aneka nasi,"Jl. Kendangsari 2 No. 40 (Perumahan YKP), Wonocolo, Surabaya",07:00-16:00,07:00-16:00,07:00-16:00,07:00-16:00,07:00-16:00,07:00-16:00,Tutup,https://gofood.co.id/surabaya/restaurant/resto-mierah-kendangsari-2-e88f4825-d469-4ccd-946b-1eff641e88c3,2025-07-11 08:01:34
"Richeese Factory, Maspion",4.8,6.7 km,$$$·,40rb-100rb,"Ayam & bebek, Aneka nasi, Cepat saji","Maspion Square, Blok MCC 2D, Jl. Ahmad Yani, Wonocolo, Surabaya",00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,https://gofood.co.id/surabaya/restaurant/richeese-factory-maspion-b98697fe-ac33-4ced-b37f-c4ffa13e5e17,2025-07-11 08:00:06
"Caturra Espresso, Anjasmoro",4.8,2.5 km,$$$·,40rb-100rb,"Kopi, Pizza & pasta, Minuman, Barat, Jajanan","Jl. Anjasmoro No. 32, Sawahan, Surabaya",07:00-20:30,07:00-20:30,07:00-20:30,07:00-20:30,07:00-20:30,07:00-20:30,07:00-20:30,https://gofood.co.id/surabaya/restaurant/caturra-espresso-anjasmoro-0f8ec434-ef75-4b33-a471-a9c57c50fa1a,2025-07-11 08:01:47
"Ayam Guling Tjahaja, Jemursari",4.9,7.66 km,$$$·,40rb-100rb,"Kopi, Ayam & bebek, Timur Tengah","Jl. Jemursari Timur 6, Blok JG No. 10, Wonocolo, Surabaya",07:00-21:00,07:00-21:00,07:15-21:00,07:00-21:00,07:00-21:00,07:00-21:00,07:00-21:00,https://gofood.co.id/surabaya/restaurant/ayam-guling-tjahaja-jemursari-3d216a22-9e5d-4eb7-98b3-8a7e2dbf2a12,2025-07-11 08:01:32
"Nyonya Attha, Rungkut",4.9,9.39 km,$$$·,40rb-100rb,Aneka nasi,"Jl. Rungkut Menanggal Raya No. 11, Gunung Anyar, Surabaya",07:00-21:45,07:00-21:45,07:00-21:45,07:00-21:45,07:00-21:45,07:00-21:45,07:00-21:45,https://gofood.co.id/surabaya/restaurant/nyonya-attha-rungkut-5e07e92e-65ad-409b-b2de-a081d56dac0f,2025-07-11 08:02:23
"Mie Guna , Wiguna Timur Raya",5,10.21 km,$$··,16rb-40rb,Bakmie,"Jl. Wiguna Timur Raya No. 7, Gunung Anyar, Surabaya",07:30-17:00,07:30-17:00,07:30-17:00,07:30-17:00,07:30-17:00,07:30-17:00,Tutup,https://gofood.co.id/surabaya/restaurant/mie-guna-wiguna-timur-raya-a341af33-414a-40f5-b9fd-ff4182775f27,2025-07-11 08:02:32
Nasi Cumi Pasar Atom Ibu Atun,4.7,2.1 km,$$$·,40rb-100rb,"Ayam & bebek, Aneka nasi, Seafood","Jl. Waspada No. 30 (Samping Pintu Pasar Atom), Pabean Cantian, Surabaya",00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,https://gofood.co.id/surabaya/restaurant/nasi-cumi-pasar-atom-ibu-atun-c7850906-5f34-460e-b7ad-0edcd65c93cc,2025-07-11 08:02:02
"Rumah Makan Porong Kiem Liong, Pondok Tjandra",4.6,9.63 km,$$··,16rb-40rb,"Chinese, Jajanan","Jl. Palem Selatan, Gang 3 MC No. 50, Waru, Sidoarjo",07:00-20:00,07:00-20:00,07:00-20:00,07:00-20:00,07:00-20:00,07:00-20:00,09:00-20:00,https://gofood.co.id/surabaya/restaurant/rumah-makan-porong-kiem-liong-pondok-tjandra-3b0eedb5-8778-4d1f-9682-b98028aa40ef,2025-07-11 08:03:00
"Depot Ahong, Waru",4.4,9.68 km,$$$·,40rb-100rb,Bakmie,"Pondok Chandra Indah, Jl. Ruko Palm Square TF-15, Waru, Sidoarjo",06:30-15:45,06:30-15:45,06:30-15:45,06:30-15:45,06:30-15:45,06:30-13:45,06:30-13:45,https://gofood.co.id/surabaya/restaurant/depot-ahong-waru-162ead4e-3772-45aa-bd7d-8c168b703439,2025-07-11 08:03:20
"Solaria, Stasiun Pasar Turi Surabaya",4.9,2.52 km,$$$·,40rb-100rb,Aneka nasi,"Stasiun Pasar Turi, Jl. Semarang, Bubutan, Surabaya",06:00-21:45,06:00-21:45,06:00-21:45,06:00-21:45,06:00-21:45,06:00-21:45,06:00-21:45,https://gofood.co.id/surabaya/restaurant/solaria-stasiun-pasar-turi-surabaya-fba02431-92ee-4516-a32f-619420d81bcc,2025-07-11 08:02:52
"Benpin Nasi Kuning Kalimantan, Gunung Anyar",4.6,10.45 km,$$··,16rb-40rb,Aneka nasi,"Perumahan Alam Gunung Anyar D9 No.21, Gunung Anyar, Surabaya",06:00-13:00,06:00-13:00,06:00-13:00,06:00-13:00,06:00-13:00,06:30-13:00,06:30-13:00,https://gofood.co.id/surabaya/restaurant/benpin-nasi-kuning-kalimantan-gunung-anyar-94bb6178-4fc4-4467-9112-ec2a71a2f6a1,2025-07-11 08:03:35
Kebab Kepoo,Baru,4.45 km,$$··,16rb-40rb,"Jajanan, Minuman, Ayam & bebek","Jl. Simo Katrungan Kidul 6 No. 1, Sawahan, Surabaya",07:00-17:00,07:00-17:00,07:00-17:00,07:00-17:00,07:00-17:00,07:00-17:00,Tutup,https://gofood.co.id/surabaya/restaurant/kebab-kepoo-52ef2340-c234-44ab-b7f0-6f1aecde5ebe,2025-07-11 08:03:51
"KFC, Ahmad Yani Surabaya",4.8,7.18 km,$$$·,40rb-100rb,Cepat saji,"Jl. Ahmad Yani No. 76-86, Gayungan, Surabaya",00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,https://gofood.co.id/surabaya/restaurant/kfc-ahmad-yani-surabaya-3069d7ae-e12e-4448-a02e-0bdf28946493,2025-07-11 08:02:06
"Rawon Pak Pangat, Ruko Lotus Regency",4.9,8.01 km,$$··,16rb-40rb,Aneka nasi,"Ruko Lotus Regency, Jl. Ketintang Baru Selatan 1 No. 15, Gayungan, Surabaya",06:30-20:30,06:30-20:30,06:30-20:30,06:30-20:30,06:30-20:45,06:30-20:30,06:30-20:30,https://gofood.co.id/surabaya/restaurant/rawon-pak-pangat-ruko-lotus-regency-16af167d-cf08-4791-8379-ced67f2dda5b,2025-07-11 08:04:38
"Ayam Bakar Primarasa, Ahmad Yani",4.9,8.37 km,$$$·,40rb-100rb,Ayam & bebek,"Jl. Ahmad Yani No. 166, Gayungan, Surabaya",07:00-22:00,07:00-22:00,07:00-21:59,07:00-21:59,07:00-21:45,07:00-21:45,07:00-21:45,https://gofood.co.id/surabaya/restaurant/ayam-bakar-primarasa-ahmad-yani-dc9aa593-2287-4555-a7c2-336d29419667,2025-07-11 08:04:21
"Dapur Desla, Putat Jaya",5,4.87 km,$$··,16rb-40rb,"Ayam & bebek, Aneka nasi, Indonesia","Jalan Cureng No 18, Putat Jaya, Kota Surabaya",00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,https://gofood.co.id/surabaya/restaurant/dapur-desla-putat-jaya-5183a7e3-532a-44d4-8343-264ed5073868,2025-07-11 08:05:11
"KFC, Pondok Chandra",4.8,9.39 km,$$$·,40rb-100rb,Cepat saji,"Jl. Rungkut Menanggal Raya No. 26, Gunung Anyar, Surabaya",00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,https://gofood.co.id/surabaya/restaurant/kfc-pondok-chandra-1bdd36b3-e77a-4d16-a76a-7db55142c291,2025-07-11 08:02:13
"Nasi Babat Cumi Madura Mettoah, Wonocolo",4.5,8.92 km,$$··,16rb-40rb,"Seafood, Aneka nasi, Ayam & bebek","Jl. Siwalankerto Timur No. 189A, Wonocolo, Surabaya",Tutup,06:00-15:00,06:00-15:00,06:00-15:00,06:00-15:00,06:00-15:00,06:00-15:00,https://gofood.co.id/surabaya/restaurant/nasi-babat-cumi-madura-mettoah-wonocolo-98f39c50-1aa1-4822-8e52-fc0ce7648513,2025-07-11 08:04:17
"Marokko Chicken, Kemayoran Budidayan",3.4,3.31 km,$$··,16rb-40rb,"Cepat saji, Minuman, Aneka nasi","JL. Kemayoran Budidayan 15A, Kemayoran, Kec.Krembangan, Surabaya",07:30-22:30,07:30-22:30,07:30-22:30,07:30-22:30,07:30-22:30,07:30-22:30,07:30-22:30,https://gofood.co.id/surabaya/restaurant/marokko-chicken-kemayoran-budidayan-b986adbf-7df6-4d01-b5d4-f06edeb962de,2025-07-11 08:05:43
"Mealbreak, Siwalankerto",4.6,9.19 km,$$··,16rb-40rb,"Aneka nasi, Cepat saji, Roti","Jl. Siwalankerto No. 121-131, Siwalankerto, Wonocolo, Surabaya",07:30-15:30,07:30-15:30,07:30-15:30,07:30-15:30,07:30-15:30,08:30-14:00,Tutup,https://gofood.co.id/surabaya/restaurant/mealbreak-siwalankerto-590ea4d7-dee8-4395-9136-fbc57d9d57cd,2025-07-11 08:05:38
"Kebab Turki Baba Rafi, Dukuh Kupang Barat",4.5,5.4 km,$$··,16rb-40rb,Jajanan,"Jl. Dukuh Kupang Barat 16 No. 20-22, Dukuh Pakis, Surabaya",00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,https://gofood.co.id/surabaya/restaurant/kebab-turki-baba-rafi-dukuh-kupang-barat-65fe9c5d-5fa4-4b49-ab2f-4462ec57a63f,2025-07-11 08:05:45
Holland Bakery Mayjend Sungkono,4.8,5.87 km,$$··,16rb-40rb,Roti,Jl. Mayjend Sungkono 149 R8 - R9,08:00-22:00,07:00-21:00,07:00-21:00,07:00-21:00,07:00-22:00,07:00-22:00,07:00-22:00,https://gofood.co.id/surabaya/restaurant/holland-bakery-mayjend-sungkono-f1229565-10ce-461c-8224-d772dd6cbf7f,2025-07-11 08:06:23
"Bubur Ayam Jakarta Cak Ujib, Waru",4.6,10.26 km,$$··,16rb-40rb,Aneka nasi,"Jl. Brigjen Katamso No. 410, Waru, Sidoarjo",05:30-10:00,05:30-10:00,05:30-10:00,05:30-10:00,05:30-10:00,05:30-10:00,05:30-10:00,https://gofood.co.id/surabaya/restaurant/bubur-ayam-jakarta-cak-ujib-waru-52b8d7e5-5432-4bfd-a7f3-325d6bfb613b,2025-07-11 08:06:37
"Pizza Hut, Kupang",4.8,5.39 km,$$$$,Diatas 100rb,"Pizza & pasta, Cepat saji, Barat, Jajanan, Ayam & bebek","Jl. Kupang Indah Raya No. 47-49, Dukuh Pakis, Surabaya",07:00-22:30,07:00-22:30,07:00-22:30,07:00-22:30,07:00-22:30,07:00-22:30,07:00-22:30,https://gofood.co.id/surabaya/restaurant/pizza-hut-kupang-48709b39-e6b7-4644-a744-f7e2307d3384,2025-07-11 08:06:10
"Ayam Bakar Primarasa, Kupang Indah",5,5.75 km,$$$·,40rb-100rb,Ayam & bebek,"Jl. Kupang Indah No. 1A, Suko Manunggal, Surabaya",07:00-21:45,07:00-21:45,07:00-21:45,07:00-21:45,07:00-21:45,07:00-21:45,07:00-21:45,https://gofood.co.id/surabaya/restaurant/ayam-bakar-primarasa-kupang-indah-a191ae6f-0593-45ca-be74-600537afbf16,2025-07-11 08:06:19
"Puding Surabaya, Simogunung Bara",4.9,5.38 km,$$$·,40rb-100rb,Sweets,Simo Hilir Utara Raya No 11 Surabaya,07:30-19:45,07:30-19:45,07:30-19:45,07:30-19:45,07:30-19:45,07:30-19:45,07:30-19:45,https://gofood.co.id/surabaya/restaurant/puding-surabaya-simogunung-bara-f6b83381-f41b-44d0-8fb9-615075942da2,2025-07-11 08:06:57
"Roti MOX, Menanggal",5,9.5 km,$$$$,Diatas 100rb,Roti,"Jl. Menanggal 5 No. 17C, Gayungan, Surabaya",07:00-20:30,Tutup,07:00-20:30,07:00-20:30,07:00-20:30,07:00-20:30,07:00-20:30,https://gofood.co.id/surabaya/restaurant/roti-mox-menanggal-f7e57032-eeb2-4199-b878-1abda3bd6d38,2025-07-11 08:07:41
"Depot Mak Ay, Kupang",4.9,5.59 km,$$$·,40rb-100rb,"Sate, Aneka nasi, Bakso & soto","Jl. Raya Kupang Jaya No. 1 B, Dukuh Pakis, Surabaya",07:30-16:00,07:30-16:00,07:30-16:00,07:30-16:00,07:30-16:00,07:30-16:00,Tutup,https://gofood.co.id/surabaya/restaurant/depot-mak-ay-kupang-ff356c23-0cc2-4ca6-8837-6db607e269ab,2025-07-11 08:07:18
"Darline Bakeria, Perak Timur",3.7,4.11 km,$···,Dibawah 16rb,"Makanan sehat, Roti, Jajanan","Jl. Perak Timur No. 98, Pabean Cantian, Surabaya",06:00-21:00,06:00-21:00,06:00-21:00,06:00-21:00,06:00-21:00,06:00-21:00,06:00-21:00,https://gofood.co.id/surabaya/restaurant/darline-bakeria-perak-timur-ff937268-8fee-40d9-aa0f-c9a0ff0e3333,2025-07-11 08:07:54
"Laritta Bakery, Perak Timur",4.9,3.9 km,$$··,16rb-40rb,Roti,"Jl. Perak Timur No. 38, Krembangan, Surabaya",06:30-20:30,06:30-20:30,06:30-20:30,06:30-20:30,06:30-20:30,06:30-20:30,06:30-20:30,https://gofood.co.id/surabaya/restaurant/laritta-bakery-perak-timur-04982b90-0109-4cfe-b6ff-3e85c2cfb708,2025-07-11 08:07:46
"Kebab Turki Baba Rafi, SPBU Janti",4.7,10.33 km,$$··,16rb-40rb,"Timur Tengah, Jajanan, Cepat saji","Jl. Brigjend Katamso No. 57-61, Mekar Raya Binangun, Janti, Kec. Waru, Kab. Sidoarjo 61256",00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,https://gofood.co.id/surabaya/restaurant/kebab-turki-baba-rafi-spbu-janti-2749df80-9f18-4323-8676-80b49c7dc5bb,2025-07-11 08:08:10
