Nama Restoran,Judul Promo,Cara Menggunakan,Detail Promo,Waktu Scraping
"Penyetan Cok, Kaza Mall","Diskon makanan 30%, maks. 19rb",Use with GoPay atau 7 lainnya,Min. pembelian 35rb,2025-07-04 21:42:52
"Penyetan Cok, Kaza Mall","Diskon makanan 30%, maks. 19rb",Use with GoPay atau 7 lainnya,Min. pembelian 42rb,2025-07-04 21:42:52
"Gepruk Geprek, Gubeng","Diskon makanan 35%, maks. 28rb",Use with GoPay atau 7 lainnya,Min. pembelian 45rb,2025-07-04 21:43:18
"Gepruk Geprek, Gubeng","Diskon makanan 30%, maks. 14rb",Use with GoPay atau 7 lainnya,Min. pembelian 25rb,2025-07-04 21:43:18
"369 Shanghai, Manyar Kertoarjo","Diskon makanan 25%, maks. 41rb",Use with GoPay atau 7 lainnya,Min. pembelian 90rb,2025-07-04 21:43:48
"Ikan Bakar Cianjur, Manyar Kertoarjo","Diskon makanan 40%, maks. 266rb",Use with GoPay atau 7 lainnya,Min. pembelian 370rb,2025-07-04 21:45:22
"Ikan Bakar Cianjur, Manyar Kertoarjo","Diskon makanan 35%, maks. 117rb",Use with GoPay atau 7 lainnya,Min. pembelian 185rb,2025-07-04 21:45:22
"Ikan Bakar Cianjur, Manyar Kertoarjo","Diskon makanan 35%, maks. 117rb",Use with GoPay atau 7 lainnya,Min. pembelian 222rb,2025-07-04 21:45:22
"Ikan Bakar Cianjur, Manyar Kertoarjo","Diskon makanan 30%, maks. 51rb",Use with GoPay atau 7 lainnya,Min. pembelian 95rb,2025-07-04 21:45:22
"Ikan Bakar Cianjur, Manyar Kertoarjo","Diskon makanan 30%, maks. 51rb",Use with GoPay atau 7 lainnya,Min. pembelian 114rb,2025-07-04 21:45:22
"Fajar Chinese Restaurant, Manyar","Diskon makanan 40%, maks. 194rb",Use with GoPay atau 7 lainnya,Min. pembelian 270rb,2025-07-04 21:45:54
"Fajar Chinese Restaurant, Manyar","Diskon makanan 35%, maks. 85rb",Use with GoPay atau 7 lainnya,Min. pembelian 135rb,2025-07-04 21:45:54
"Fajar Chinese Restaurant, Manyar","Diskon makanan 30%, maks. 38rb",Use with GoPay atau 7 lainnya,Min. pembelian 70rb,2025-07-04 21:45:54
"Steak Hut, Mulyorejo","Diskon makanan 35%, maks. 176rb",Use with GoPay atau 7 lainnya,Min. pembelian 280rb,2025-07-04 21:46:28
"Steak Hut, Mulyorejo","Diskon makanan 30%, maks. 76rb",Use with GoPay atau 7 lainnya,Min. pembelian 140rb,2025-07-04 21:46:28
"Panties Pizza, Klampis","Diskon makanan 40%, maks. 137rb",Use with GoPay atau 7 lainnya,Min. pembelian 190rb,2025-07-04 21:47:27
"Panties Pizza, Klampis","Diskon makanan 35%, maks. 60rb",Use with GoPay atau 7 lainnya,Min. pembelian 95rb,2025-07-04 21:47:27
"Panties Pizza, Klampis","Diskon makanan 35%, maks. 60rb",Use with GoPay atau 7 lainnya,Min. pembelian 114rb,2025-07-04 21:47:27
"Panties Pizza, Klampis","Diskon makanan 30%, maks. 27rb",Use with GoPay atau 7 lainnya,Min. pembelian 50rb,2025-07-04 21:47:27
"Panties Pizza, Klampis","Diskon makanan 30%, maks. 27rb",Use with GoPay atau 7 lainnya,Min. pembelian 60rb,2025-07-04 21:47:27
"Martabak & Terang Bulan Holland, Manyar Kertoarjo","Diskon makanan 35%, maks. 220rb",Use with GoPay atau 7 lainnya,Min. pembelian 350rb,2025-07-04 21:47:59
"Martabak & Terang Bulan Holland, Manyar Kertoarjo","Diskon makanan 25%, maks. 41rb",Use with GoPay atau 7 lainnya,Min. pembelian 90rb,2025-07-04 21:47:59
"Ayam Bakar Primarasa, Manyar Kertoarjo","Diskon makanan 30%, maks. 151rb",Use with GoPay atau 7 lainnya,Min. pembelian 280rb,2025-07-04 21:48:32
"Ayam Bakar Primarasa, Manyar Kertoarjo","Diskon makanan 25%, maks. 63rb",Use with GoPay atau 7 lainnya,Min. pembelian 140rb,2025-07-04 21:48:32
"Ayam Bakar Primarasa, Manyar Kertoarjo","Diskon makanan 20%, maks. 25rb",Use with GoPay atau 7 lainnya,Min. pembelian 70rb,2025-07-04 21:48:32
"Kebab Bosman, Gubeng","Diskon makanan 30%, maks. 16rb",Use with GoPay atau 7 lainnya,Min. pembelian 30rb,2025-07-04 21:50:47
"Kebab Bosman, Gubeng","Diskon makanan 30%, maks. 16rb",Use with GoPay atau 7 lainnya,Min. pembelian 36rb,2025-07-04 21:50:47
"Toby's, Kusuma Bangsa","Diskon makanan 40%, maks. 130rb",Use with GoPay atau 7 lainnya,Min. pembelian 180rb,2025-07-04 21:51:20
"Toby's, Kusuma Bangsa","Diskon makanan 35%, maks. 57rb",Use with GoPay atau 7 lainnya,Min. pembelian 90rb,2025-07-04 21:51:20
"Toby's, Kusuma Bangsa","Diskon makanan 30%, maks. 24rb",Use with GoPay atau 7 lainnya,Min. pembelian 45rb,2025-07-04 21:51:20
"Martabak Gading Pecenongan, Jl. Kertajaya","Diskon makanan 35%, maks. 145rb",Use with GoPay atau 7 lainnya,Min. pembelian 230rb,2025-07-04 21:52:28
"Martabak Gading Pecenongan, Jl. Kertajaya","Diskon makanan 30%, maks. 62rb",Use with GoPay atau 7 lainnya,Min. pembelian 115rb,2025-07-04 21:52:28
"Martabak Gading Pecenongan, Jl. Kertajaya","Diskon makanan 25%, maks. 27rb",Use with GoPay atau 7 lainnya,Min. pembelian 60rb,2025-07-04 21:52:28
"Ayam Bakar Primarasa, Kusuma Bangsa","Diskon makanan 30%, maks. 151rb",Use with GoPay atau 7 lainnya,Min. pembelian 280rb,2025-07-04 21:52:58
"Ayam Bakar Primarasa, Kusuma Bangsa","Diskon makanan 25%, maks. 63rb",Use with GoPay atau 7 lainnya,Min. pembelian 140rb,2025-07-04 21:52:58
"Ayam Bakar Primarasa, Kusuma Bangsa","Diskon makanan 20%, maks. 25rb",Use with GoPay atau 7 lainnya,Min. pembelian 70rb,2025-07-04 21:52:58
